codprojeto,nomeprojeto,codcliente,codtipoprojeto,tipo_faturamento,qdadehora_cont,valorhora_cont,dataini_proj,dataterm_proj,datacad_proj,codConsultor,codstatus_proj,gpcliente_proj,gpwinnercon_proj,dataassinatura_prop,represente_prop,numproposta_prop,tipo_servidor,forma_pagamento
"49,""HH - Reinaldo"",256,7,HH,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"50,""HH - Medson"",240,7,HH,500,135.15,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"51,""Revitalização - Dimensão"",68,3,EF,250,112.50,2022-01-01,2022-12-31,""2022-03-10 14:56:27"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"52,""HH - Polimovi"",239,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:30:03"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"53,""HH - Participar"",364,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:31:08"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"54,""HH - TOCTAO"",123,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:41:30"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"55,""HH - Libcorp"",265,3,NM,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:42:55"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"56,""HH - Brooklin"",34,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-14 09:51:04"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"57,""Implantação Faustino & Faustino"",264,3,NM,200,150.00,2022-02-01,2022-05-31,""2022-03-15 12:41:46"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"58,""HH - Vinx"",176,7,HH,200,150.00,2022-01-01,2022-12-31,""2022-03-18 10:01:34"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"59,""HH - J.S.O"",358,7,HH,3,150.00,2022-03-07,2022-03-07,""2022-03-18 10:08:12"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"60,""MGM CONSTRUTORA"",120,6,HH,1,0.00,2022-03-01,2022-05-31,""2022-03-18 10:13:04"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"61,HH,240,7,HH,40,150.00,2022-01-01,2022-06-30,""2022-03-18 17:49:43"",10,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"64,""JOB TO BE - Marka"",415,3,EF,40,150.00,2022-01-01,2022-12-31,""2022-03-21 10:34:51"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"65,""Novos Negócios - ACR"",20,1,HH,100,150.00,2022-01-01,2022-12-31,""2022-03-29 17:01:53"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"66,""HH - Constru Forte"",46,7,HH,100,150.00,2022-01-01,2022-12-31,""2022-03-30 08:48:14"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"67,""Novos Negócios - J Bianchi"",94,6,HH,100,0.00,2022-01-01,2022-12-31,""2022-03-30 09:32:56"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"68,""Novos Negócios - Novata"",128,6,HH,100,0.00,2022-01-01,2022-12-31,""2022-03-30 09:34:59"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"69,""Novos Negócios - Sevcon"",153,6,HH,100,0.00,2022-01-01,2022-12-31,""2022-03-30 09:58:21"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"70,""Novos Negócios - Sinal Verde"",154,6,HH,100,0.00,2022-01-01,2022-12-31,""2022-03-30 09:59:27"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"71,""Novos Negócios - Tiner"",165,6,HH,100,0.00,2022-01-01,2022-12-31,""2022-03-30 10:00:48"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"72,""HH - Epson"",77,7,HH,100,150.00,2022-01-01,2022-12-31,""2022-03-31 11:58:25"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"73,""HH - Century"",254,7,HH,100,135.47,2022-01-01,2022-12-31,""2022-03-31 11:59:49"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"74,""Implantação Vinx - FISCAL"",176,3,HH,200,150.00,2022-03-28,2022-07-29,""2022-04-01 15:11:29"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"75,""Revitalização LMD"",106,3,EF,100,150.00,2022-03-14,2022-06-30,""2022-04-01 15:16:13"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"76,""Implantação Upper"",439,3,NM,150,150.00,2022-04-04,2022-07-29,""2022-04-01 15:26:34"",10,1,,,0000-00-00,,,,"
"100,""Histórico - GLOBALTEC"",1,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"101,""Histórico - WINNERCON "",2,7,NM,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"102,""Histórico - HENRIQUE"",16,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"103,""Histórico - APOENA"",22,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"104,""Histórico - ARBORE"",23,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"105,""Histórico - AUSTIN"",26,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"106,""Histórico - B & B "",30,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"107,""Histórico - BANCO DE PROJETOS"",31,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"108,""Histórico - BROOKLIN"",34,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"109,""Histórico - C I "",35,7,HH,1,150.00,2019-01-01,2022-05-31,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"110,""Histórico - CATTALINI"",37,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"111,""Histórico - CATUÍ "",38,7,EF,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,1,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
